Date,Description,Amount
06/28/2025,BOB EVANS RESTAURANTSTOW                OH,58.69
06/28/2025,WENDYS 1859 00000185STOW                OH,18.12
06/27/2025,APPB 9919 - POS AAG STOW                OH,100.00
06/27/2025,KOREA HOUSE 43684555CLEVELAND           OH,113.35
06/26/2025,AplPay STORE        STOW                OH,1.99
06/26/2025,AplPay STORE        STOW                OH,5.79
06/25/2025,AplPay OLIVE GARDEN CUYAHOGA FALLS      OH,110.14
06/24/2025,MOBILE PAYMENT - THANK YOU,-1784.87
06/23/2025,AplPay MCDONALD'S   BRIDGEVILLE         PA,1.06
06/23/2025,AplPay MCDONALD'S   BRIDGEVILLE         PA,1.06
06/23/2025,AplPay POPEYES 11338MACEDONIA           OH,12.99
06/23/2025,EXXONMOBIL CAT OUTSIKANSAS CITY,-5.00
06/22/2025,AplPay STORE        BEDFORD             PA,1.27
06/22/2025,EXXONMOBIL 4209     UNIONTOWN           PA,50.00
06/22/2025,HAMPTON INN         BEDFORD             PA,180.64
06/21/2025,BURGER KING #30050 0SOMERSET            PA,23.32
06/21/2025,DENNY'S #6296 000000BEDFORD             PA,28.81
06/21/2025,ROUTE 220 DINER 9275BEDFORD             PA,23.21
