Date,Description,Amount
10/07/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,36.68
10/06/2025,APPB 9919 - OLO AAG STOW                OH,27.50
10/06/2025,AplPay GIANT EAGLE  STOW                OH,25.90
10/06/2025,AplPay STORE        KENT                OH,6.38
10/06/2025,AplPay STORE        MUNROE FALLS        OH,1.27
10/04/2025,AplPay KYURAMEN (STRSTRONGSVILLE        OH,11.65
10/03/2025,AMEX Hilton Honors Aspire Flight Credit,-50.00
10/03/2025,AplPay NOODLE KING 0AKRON               OH,42.82
10/03/2025,UNITED AIRLINES     HOUSTON             TX,50.00
10/02/2025,AplPay BANGKOK THAI STOW                OH,33.90
10/02/2025,AplPay STORE        HUDSON              OH,1.07
10/02/2025,PANERA BREAD #203374HUDSON              OH,6.99
10/01/2025,TEXAS ROADHOUSE     STOW                OH,66.00
09/29/2025,AplPay STORE        KENT                OH,1.59
09/29/2025,AplPay STORE        KENT                OH,2.00
09/29/2025,AplPay STORE        KENT                OH,2.00
09/29/2025,AplPay STORE        KENT                OH,5.87
09/29/2025,AplPay WENDYS 1793 0KENT                OH,5.86
09/29/2025,MARC'S STOW 0036    STOW                OH,30.71
09/28/2025,A PLUS CRAB 00-08036CUYAHOGA FLS        OH,55.49
09/27/2025,AplPay STORE        CUYAHOGA FALLS      OH,1.70
09/26/2025,MIDWAY TWIN DRIVE INRAVENNA             OH,40.00
09/26/2025,SPECTRUM            855-707-7328        MO,40.00
09/26/2025,SPECTRUM            ST LOUIS,-5.00
09/26/2025,SPECTRUM            ST LOUIS,-2.00
09/25/2025,AplPay BANGKOK THAI STOW                OH,16.95
09/25/2025,AplPay KING DRAGON 0STOW                OH,24.00
09/23/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,33.69
09/23/2025,SAM'S CLUB 4750 4750CUYAHOGA FALLS      OH,73.50
09/22/2025,MARC'S STOW 0036    STOW                OH,9.23
09/21/2025,AplPay APPLE STORE RAKRON               OH,-47.69
09/21/2025,AplPay YY TIME      CHICAGO             IL,57.97
09/21/2025,GET GO              STOW                OH,14.69
09/21/2025,SAKURA SUSHI 00-0804AKRON               OH,72.00
09/21/2025,WAL-MART SUPERCENTERSTOW                OH,34.66
09/19/2025,AplPay BURGER KING  STOW                OH,6.99
09/19/2025,AplPay NOODLE KING 0AKRON               OH,27.55
09/19/2025,STOW SOCCER CLUB INCSTOW                OH,150.00
09/18/2025,AplPay DAIRY QUEEN  STOW                OH,7.47
09/18/2025,AplPay TOMINI LLC   Stow                OH,38.50
09/18/2025,AplPay UEP*LU CHA 00STOW                OH,5.75
09/17/2025,AplPay BANGKOK THAI STOW                OH,10.95
09/16/2025,AplPay APPLE ONLINE CUPERTINO           CA,73.05
09/16/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,37.06
09/16/2025,MOBILE PAYMENT - THANK YOU,-731.62
09/15/2025,AplPay BURGER KING  STOW                OH,9.14
09/15/2025,AplPay RSVP NO. 36  STOW                OH,12.27
09/14/2025,AplPay CEDAR POINT O419-627-2350        OH,175.45
09/13/2025,AplPay MCDONALD'S   ELYRIA              OH,1.79
09/13/2025,AplPay MCDONALD'S   ELYRIA              OH,2.50
09/13/2025,AplPay MCDONALD'S   ELYRIA              OH,8.28
09/13/2025,AplPay STORE        STOW                OH,5.79
09/13/2025,CEDAR POINT ONLINE 0419-627-2350        OH,330.75
09/12/2025,AplPay TARGET       STOW                OH,16.20
09/12/2025,STOW-MUNOE FALLS BOOSTOW                OH,18.00
09/09/2025,AplPay WENDYS 12507 BOSTON HEIGHT       OH,6.44
09/09/2025,AplPay WENDYS 12507 BOSTON HEIGHT       OH,10.85
09/08/2025,AplPay NYX=PORTAGE CGARRETTSVILLE       OH,0.50
09/08/2025,AplPay NYX=PORTAGE CGARRETTSVILLE       OH,0.50
09/07/2025,AMEX Hilton Honors Aspire Flight Credit,-50.00
09/07/2025,AplPay YY TIME      CHICAGO             IL,57.90
09/07/2025,PARK TO SHOP        CLEVELAND           OH,49.94
09/07/2025,TINK HOLL ENTERPRISECLEVELAND           OH,38.01
09/07/2025,UNITED AIRLINES     HOUSTON             TX,50.00
09/06/2025,AplPay STORE        CUYAHOGA FALLS      OH,5.89
