Date,Description,Amount
08/08/2025,MEMBERSHIP FEE,550.00
08/07/2025,AplPay TEXAS ROADHOUSTOW                OH,58.98
08/06/2025,UMAMI NOODLE 00-0803CUYAHOGA FLS        OH,21.60
08/05/2025,AplPay WENDYS 1859 0STOW                OH,2.99
08/05/2025,AplPay WENDYS 1859 0STOW                OH,5.00
08/03/2025,OLIVE GARDEN ITALIANCUYAHOGA FALLS      OH,34.50
08/02/2025,AplPay PARKMOBILE   770-818-9036        GA,4.60
08/02/2025,BOB EVANS RESTAURANTSTOW                OH,45.39
08/02/2025,WAL-MART SUPERCENTERSTOW                OH,24.70
07/31/2025,GOGI EN K BBQ 00-080SOLON               OH,122.00
07/29/2025,AplPay WENDYS 12507 BOSTON HEIGHT       OH,15.21
07/26/2025,AplPay BANGKOK THAI STOW                OH,29.90
07/26/2025,BONCHON- SEVEN HILLSSEVEN HILLS         OH,60.00
07/25/2025,AplPay DAIRY QUEEN  STOW                OH,7.57
07/25/2025,AplPay STORE        KENT                OH,4.89
07/24/2025,AplPay STORE        MUNROE FALLS        OH,1.07
07/24/2025,AplPay STORE        MUNROE FALLS        OH,1.70
07/23/2025,AplPay APPB 9919 - TSTOW                OH,16.00
07/23/2025,AplPay STORE        STOW                OH,1.99
07/23/2025,AplPay STORE        STOW                OH,2.00
07/23/2025,AplPay STORE        STOW                OH,8.20
07/20/2025,AplPay WENDYS 1859 0STOW                OH,6.41
07/20/2025,AplPay WENDYS 1859 0STOW                OH,6.41
07/19/2025,AplPay STORE        MUNROE FALLS        OH,1.07
07/19/2025,AplPay STORE        MUNROE FALLS        OH,1.79
07/18/2025,AplPay DAIRY QUEEN  STOW                OH,4.97
07/18/2025,AplPay THE CAFE IN SSTOW                OH,43.00
07/17/2025,AplPay J &  K SUBWAYNORTH CANTON        OH,18.99
07/17/2025,AplPay STORE        MUNROE FALLS        OH,1.07
07/17/2025,AplPay STORE        MUNROE FALLS        OH,1.79
07/16/2025,AplPay STORE        MUNROE FALLS        OH,1.07
07/16/2025,AplPay STORE        MUNROE FALLS        OH,1.79
07/15/2025,AplPay STORE        STOW                OH,1.99
07/14/2025,AplPay BANGKOK THAI STOW                OH,9.95
07/14/2025,AplPay STORE        STOW                OH,2.00
07/14/2025,AplPay STORE        STOW                OH,2.39
07/14/2025,AplPay STORE        STOW                OH,4.79
07/14/2025,AplPay STORE        STOW                OH,4.79
07/14/2025,AplPay STORE        STOW                OH,5.29
07/14/2025,AplPay STORE        STOW                OH,5.45
07/14/2025,UPSIDE* BOB EVANS REWASHINGTON          DC,-52.53
07/13/2025,AplPay BOB EVANS RESSTOW                OH,52.53
07/13/2025,UPSIDE* BOB EVANS REWASHINGTON          DC,52.53
07/12/2025,KING DRAGON 0001    STOW                OH,54.90
07/11/2025,AplPay DAIRY QUEEN  STOW                OH,1.99
07/11/2025,AplPay MCDONALD'S F1MUNROE FALLS        OH,1.07
07/11/2025,AplPay TST* SPAGHETTAKRON               OH,94.00
07/10/2025,AplPay DAIRY QUEEN  STOW                OH,5.69
07/10/2025,AplPay DAIRY QUEEN  STOW                OH,8.67
07/10/2025,AplPay WENDYS 12507 BOSTON HEIGHT       OH,6.52
07/09/2025,AplPay PAPA JOHN'S  STOW                OH,4.91
07/08/2025,AplPay APPB 9919 - TSTOW                OH,28.00
