Date,Description,Amount
11/30/2025,HAMPTON INN ST COLLESTATE COLLEGE       PA,126.57
11/26/2025,SPECTRUM            855-707-7328        MO,40.00
11/26/2025,SPECTRUM            ST LOUIS,-2.00
11/19/2025,MARKET DISTRICT #403CUYAHOGA FALL       OH,5.17
11/17/2025,CATHAY PACIFIC AIRWATAIPEI              TW,784.76
11/17/2025,KENT FOOD MARKET 558KENT                OH,45.31
11/15/2025,AplPay DAIRY QUEEN #TWINSBURG           OH,6.87
11/15/2025,AplPay TST* SUSHIEN TWINSBURG           OH,66.06
11/14/2025,AplPay STORE        STOW                OH,1.40
11/14/2025,AplPay STORE        STOW                OH,2.27
11/14/2025,CEDAR POINT CASTAWAYSANDUSKY            OH,112.61
11/14/2025,CEDAR POINT CASTAWAYSANDUSKY            OH,112.61
11/14/2025,FANDANGO.COM        866-857-5191        CA,12.68
11/14/2025,UPSIDE 000000005    WASHINGTON          DC,83.50
11/12/2025,AplPay SKYLINE CHILISTOW                OH,35.58
11/12/2025,AplPay WALGREENS #42STOW                OH,13.87
11/12/2025,ONLINE PAYMENT - THANK YOU,-1493.15
11/10/2025,AplPay STORE        KENT                OH,1.40
11/10/2025,AplPay STORE        KENT                OH,1.89
11/10/2025,AplPay STORE        KENT                OH,2.27
11/10/2025,SAM'S CLUB 4750 4750CUYAHOGA FALLS      OH,61.24
11/09/2025,AplPay ADIDAS US ONL800-982-9337        OR,16.66
11/08/2025,AplPay WENDYS 1859 0STOW                OH,16.22
