Date,Description,Amount
11/06/2025,AplPay PAPA JOHN'S  STOW                OH,15.99
11/06/2025,QUEST DIAG VENTURE  833-387-0254        PA,8.79
11/02/2025,AplPay TENSUKE MARKEColumbus            OH,58.87
11/01/2025,AplPay RAISING CANESCUYAHOGA FALL       OH,11.56
10/29/2025,MARC'S STOW 0036    STOW                OH,12.86
10/29/2025,WAL-MART SUPERCENTERSTOW                OH,15.20
10/28/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,37.99
10/26/2025,SPECTRUM            855-707-7328        MO,40.00
10/26/2025,SPECTRUM            ST LOUIS,-5.00
10/26/2025,SPECTRUM            ST LOUIS,-2.00
10/25/2025,AplPay SZECHUAN GOURKENT                OH,32.90
10/24/2025,AplPay MED*UH PORTAGSHAKER HEIGHTS      OH,3.07
10/24/2025,AplPay WALGREENS #42STOW                OH,0.42
10/23/2025,AplPay TST* SUSHIEN TWINSBURG           OH,42.14
10/22/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.66
10/22/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.25
10/22/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.22
10/22/2025,AplPay SKYLINE CHILISTOW                OH,12.00
10/22/2025,CORNERSTONE MARKET AMUNROE FALLS        OH,19.53
10/22/2025,SAM'S CLUB 4750 4750CUYAHOGA FALLS      OH,100.70
10/21/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,37.19
10/21/2025,AplPay CHIPOTLE MEX NEWPORT BEACH       CA,8.95
10/21/2025,AplPay KOHL'S       STOW                OH,40.54
10/20/2025,AplPay MEIJER STORE STOW                OH,9.98
10/20/2025,SAM'S CLUB 4750 4750CUYAHOGA FALLS      OH,37.58
10/20/2025,SAM'S CLUB 4750 4750CUYAHOGA FALLS      OH,66.20
10/19/2025,AplPay MCDONALD'S   ELYRIA              OH,1.07
10/18/2025,AplPay MARC'S STOW 0STOW                OH,14.04
10/18/2025,AplPay STORE        CUYAHOGA FALLS      OH,6.58
10/18/2025,CEDAR POINT GAMES 00SANDUSKY            OH,27.00
10/17/2025,AplPay METROPARKS ZOCLEVELAND           OH,5.00
10/17/2025,AplPay WENDYS #1473 STOW                OH,13.18
10/16/2025,AplPay CHIPOTLE MEX NEWPORT BEACH       CA,8.95
10/15/2025,AplPay USPS PO 38203STOW                OH,24.00
10/15/2025,PY *ANOTHER BROKEN ESTREETSBORO         OH,62.41
10/14/2025,AplPay MARC'S STOW 0STOW                OH,12.26
10/13/2025,AplPay STORE        KENT                OH,1.70
10/13/2025,AplPay STORE        KENT                OH,6.98
10/13/2025,AplPay WALGREENS #42STOW                OH,0.42
10/13/2025,NEW SAMS.COM MEM#627TEMPLE              TX,15.00
10/12/2025,AplPay TST* GOGI EN SOLON               OH,241.48
10/11/2025,"AplPay ANANA FAMILY,CLEVELAND           OH",11.55
10/11/2025,LI WAH ASIA PLAZA. 0CLEVELAND           OH,114.70
10/11/2025,TINK HOLL ENTERPRISECLEVELAND           OH,122.13
10/10/2025,AMAZON MARKEPLACE NA PA,85.62
10/10/2025,AplPay DD *WUSHILANDSAN FRANCISCO       CA,14.86
10/10/2025,AplPay WENDYS 1859 0STOW                OH,4.05
10/10/2025,CHENGDU GOURMET 00-0PITTSBURGH          PA,74.45
10/10/2025,ONLINE PAYMENT - THANK YOU,-1834.90
10/09/2025,AplPay GIANT EAGLE  STOW                OH,26.95
10/09/2025,AplPay POPEYES 11338MACEDONIA           OH,13.49
10/08/2025,AplPay BANGKOK THAI STOW                OH,10.95
