Date,Description,Amount
01/04/2026,HAMPTON INN         WYTHEVILLE          VA,111.55
01/03/2026,TRU BY HILTON FORT MFORT MILL           SC,8.12
01/02/2026,TRU BY HILTON CHARLEN CHARLESTON        SC,89.78
12/31/2025,AMEX Hilton Honors Aspire Resort Credit,-200.00
12/31/2025,HAMPTON INN AND SUITSAVANNAH            GA,140.60
12/31/2025,MOBILE PAYMENT - THANK YOU,-1546.94
12/31/2025,SIGNIA BY HILTON BONORLANDO             FL,200.00
12/26/2025,SPECTRUM            855-707-7328        MO,40.00
12/26/2025,SPECTRUM            ST LOUIS,-5.00
12/26/2025,SPECTRUM            ST LOUIS,-2.00
