Trans. Date,Post Date,Description,Amount,Category
03/14/2025,03/14/2025,"MCDONALDS 11579 STOW OHAPPLE PAY ENDING IN 9002",8.84,"Restaurants"
03/14/2025,03/14/2025,"MCDONALDS 11579 STOW OH",11.37,"Restaurants"
03/12/2025,03/12/2025,"LOWE'S OF STOW, OH STOW OH",100.00,"Home Improvement"
03/10/2025,03/10/2025,"MCDONALD'S F31878 KENT OHAPPLE PAY ENDING IN 8399",1.89,"Restaurants"
03/08/2025,03/08/2025,"MCDONALDS 11579 STOW OH",1.79,"Restaurants"
03/08/2025,03/08/2025,"MCDONALDS 11579 STOW OHAPPLE PAY ENDING IN 9002",6.00,"Restaurants"
03/08/2025,03/08/2025,"UMAMI NOODLE CUYAHOGA FLS OHAPPLE PAY ENDING IN 9002",6.00,"Restaurants"
03/08/2025,03/08/2025,"UMAMI NOODLE CUYAHOGA FLS OHAPPLE PAY ENDING IN 9002",24.13,"Restaurants"
03/04/2025,03/04/2025,"BANGKOK THAI RESTAURANT AKRON OHAPPLE PAY ENDING IN 9002",23.90,"Restaurants"
03/03/2025,03/03/2025,"DAIRY QUEEN #17749 STOW OHAPPLE PAY ENDING IN 9002",3.29,"Restaurants"
03/01/2025,03/01/2025,"KING DRAGON STOW OH",11.50,"Restaurants"
03/01/2025,03/01/2025,"KOREA HOUSE CLEVELAND OH",100.00,"Restaurants"
03/01/2025,03/01/2025,"MCDONALDS 11579 STOW OH",1.69,"Restaurants"
03/01/2025,03/01/2025,"MCDONALDS 11579 STOW OH",2.19,"Restaurants"
03/01/2025,03/01/2025,"TST* MANGO MANGO DESSERT CLEVELAND OHAPPLE PAY ENDING IN 8399",6.50,"Restaurants"
02/28/2025,02/28/2025,"MCDONALD'S F11579 STOW OHAPPLE PAY ENDING IN 8399",2.89,"Restaurants"
02/26/2025,02/26/2025,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-35.25,"Awards and Rebate Credits"
02/26/2025,02/26/2025,"INTERNET PAYMENT - THANK YOU",-673.60,"Payments and Credits"
02/25/2025,02/25/2025,"MCDONALDS 1310 KENT OHAPPLE PAY ENDING IN 9002",2.74,"Restaurants"
02/25/2025,02/25/2025,"MCDONALDS 31878 KENT OH",1.79,"Restaurants"
02/22/2025,02/22/2025,"TST*SPAGHETTI WAREHOUS AKRON OH00179073023178284551AA",57.69,"Restaurants"
02/20/2025,02/20/2025,"BANGKOK THAI RESTAURANT AKRON OHAPPLE PAY ENDING IN 9002",29.90,"Restaurants"
02/19/2025,02/19/2025,"CHIPOTLE ONLINE 949-524-4000 CA",4.95,"Restaurants"
02/17/2025,02/17/2025,"DAIRY QUEEN #17749 STOW OHAPPLE PAY ENDING IN 9002",3.19,"Restaurants"
02/17/2025,02/17/2025,"PANDA EXPRESS #2846 P 626-799-9898 OH",2.00,"Restaurants"
02/16/2025,02/17/2025,"LINVILLE FOOD SERVICE CLEVELAND OH",15.00,"Restaurants"
02/16/2025,02/17/2025,"MCDONALDS 11579 STOW OH",1.69,"Restaurants"
