Date,Description,Amount
04/04/2025,AMEX Flight Credit,-50.00
04/01/2025,UNITED AIRLINES     HOUSTON             TX,50.00
03/20/2025,AplPay PARKMOBILE PaATLANTA             GA,1.45
03/18/2025,AplPay MID ATLANTIC BETHESDA            MD,4.00
03/18/2025,AplPay STORE        MCLEAN              VA,9.54
03/18/2025,AplPay TJ CAFE 84833BETHESDA            MD,2.00
03/17/2025,AplPay STORE        MCLEAN              VA,7.61
03/15/2025,AplPay TST* CHIANG MMCLEAN              VA,58.30
03/15/2025,AplPay TST* CHIANG MMCLEAN              VA,61.48
03/14/2025,AplPay STORE        MCLEAN              VA,8.90
03/13/2025,AUTOPAY PAYMENT - THANK YOU,-1086.18
03/10/2025,AplPay GIANT 0758   MCLEAN              VA,5.68
03/09/2025,AplPay HAAGEN DAZS 1MC LEAN             VA,20.72
03/09/2025,AplPay TERIYAKI WAY MCLEAN              VA,29.66
03/06/2025,AplPay STORE        MCLEAN              VA,10.46
03/04/2025,AplPay CPI*CANTEEN VSUITLAND            MD,3.10
03/04/2025,AplPay STORE        MCLEAN              VA,10.36
02/26/2025,AIRBNB * HMEEBWAJJK SAN FRANCISCO       CA,722.72
02/23/2025,AplPay CVS PHARMACY MC LEAN             VA,13.04
02/20/2025,AplPay FAR EASTERN DHSINCHU,7.70
02/20/2025,AplPay FAR EASTERN DHSINCHU,8.71
02/20/2025,AplPay FAR EASTERN DHSINCHU,33.16
02/20/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,1.53
02/20/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,17.79
02/19/2025,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,22.99
02/18/2025,AplPay FAR EASTERN DKAOHSIUNG CIT,18.04
02/18/2025,AplPay KAOHSIUNG RAPKAOHSIUNG CIT,0.61
02/16/2025,AplPay McDonald's ReKAOHSIUNG CIT,1.16
