Date,Description,Amount
02/06/2025,MEMBERSHIP FEE,550.00
02/06/2025,UBER EATS           HTTPS://HELP.UBER.COTW,3.63
02/06/2025,UBER TRIP           HTTPS://HELP.UBER.COTW,3.29
02/06/2025,UBER TRIP           HTTPS://HELP.UBER.COTW,11.15
02/04/2025,AplPay FAR EASTERN DKAOHSIUNG CIT,13.95
02/03/2025,AplPay THSRC 00013  HSINCHU,90.99
02/03/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,3.29
02/03/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,9.02
02/03/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,12.00
02/03/2025,PAYPAL *WASHINGTONG 4029357733          KS,144.57
02/03/2025,UBER TRIP           HTTPS://HELP.UBER.COTW,22.72
02/02/2025,AplPay YUAN DUNG JIUHSINCHU,5.97
02/01/2025,AplPay YUAN DUNG JIUHSINCHU,14.62
02/01/2025,CLICKPAY=FIRSTSERVICFAIRFAX             VA,207.03
01/31/2025,DAYCAREFEE* COLUMBIASEA GIRT            NJ,1550.00
01/30/2025,CLEAR               NEW YORK,-199.00
01/29/2025,AplPay CVS PHARMACY FALLS CHURCH        VA,-6.70
01/29/2025,CLEAR  *CLEARME.COM CLEARME.COM         NY,199.00
01/28/2025,AMAZON MARKEPLACE NA PA,42.38
01/28/2025,AMAZON MARKEPLACE NA PA,54.01
01/28/2025,AMAZON.COM          AMZN.COM/BILL       WA,33.17
01/28/2025,PAYPAL *ALLSTATEINS 4029357733          TX,1282.68
01/27/2025,AMAZON.COM          AMZN.COM/BILL       WA,7.48
01/27/2025,AplPay CVS PHARMACY FALLS CHURCH        VA,6.70
01/25/2025,AMAZON.COM          AMZN.COM/BILL       WA,18.96
01/24/2025,VIRGIN HOTELS LAS VELAS VEGAS           NV,-271.56
01/19/2025,AMAZON MARKEPLACE NA PA,20.10
01/19/2025,AMEX Flight Credit,-50.00
01/19/2025,AplPay WHOLEFDS TYC#MCLEAN              VA,-7.06
01/19/2025,AplPay WHOLEFDS TYC#MCLEAN              VA,5.04
01/19/2025,AplPay WHOLEFDS TYC#MCLEAN              VA,82.70
01/19/2025,Hilton Resort Credit,-200.00
01/17/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,4.99
01/17/2025,STARLUX AIRLINES CO.TAIPEI CITY,104.11
01/16/2025,VIRGIN HOTELS LAS VELAS VEGAS           NV,271.56
01/15/2025,UNITED AIRLINES     HOUSTON             TX,50.00
01/14/2025,AMAZON MARKEPLACE NA PA,157.02
01/12/2025,AplPay MEDSTAR CAPITARLINGTON           VA,20.00
01/11/2025,AplPay 99 RANCH MARKFAIRFAX             VA,13.40
01/10/2025,AplPay WEEE INC.    FREMONT             CA,74.00
